Id,Name,Url Mask,SKU(Unique),Product Type,Combinations,Default category(id),Other Categories(comma seperated id),Brand Id,Price,Offer price,Price Unit,Cost of Product,Current inventory,Min Quantity to Sell,Max Quantity to Sell,Low stock level,Position,Status,SEO title,SEO keywords,Seo description,Default image,Other images,Short desc,Description
,Jayatri (Mace),jayatri,MACE-100,standard,,1,14,,88,0,25gm,,100,1,10,3,,A,Jayatri (Mace) | Aromatic Spice for Curries,"Jayatri, Mace, Aromatic, Curries, Spice",Aromatic mace spice for curries,jayatri.jpg,,Aromatic mace spice for curries,"<section> <h3>Jayatri (Mace)</h3> <p>Jayatri, or mace, is the dried outer covering of nutmeg. It has a warm, aromatic flavor and is used in curries, biryanis, and spice blends.</p> <ul> <li>Natural mace – aromatic and flavorful</li> <li>Enhances curries and biryanis</li> <li>Supports digestion and wellness</li> <li>Essential for garam masala and festive cooking</li> </ul> </section>"
,Shahi Morich,shahi-morich,SHAHI-MORICH-100,standard,,1,14,,37,0,25gm,,100,1,10,3,,A,Shahi Morich | Premium Black Peppercorns,"Shahi Morich, Black Peppercorns, Premium, Spice",Premium black peppercorns for cooking,shahi-morich.jpg,,Premium black peppercorns,"<section> <h3>Shahi Morich</h3> <p>Shahi Morich is a premium variety of black peppercorns, prized for their strong aroma and pungent flavor. Used in spice blends and everyday cooking.</p> <ul> <li>Premium black peppercorns</li> <li>Pungent flavor – versatile seasoning</li> <li>Supports digestion and immunity</li> <li>Essential for spice blends and curries</li> </ul> </section>"
,Sada Sorisha (white mustard seeds),sada-sorisha,MUSTARD-SEED-100,standard,,1,14,,10,0,100gm,,100,1,10,3,,A,Sada Sorisha (Mustard Seeds) | Authentic Indian Spice,"Sada Sorisha, Mustard Seeds, Authentic, Indian Spice",Authentic mustard seeds for Indian dishes,sada-sorisha.jpg,,Authentic mustard seeds for Indian dishes,"<section> <h3>Sada Sorisha (Mustard Seeds)</h3> <p>Sada Sorisha, or white mustard seeds, are used in pickles, curries, and spice blends. They add a sharp, tangy flavor and are essential in Indian cooking.</p> <ul> <li>Natural mustard seeds – sharp flavor</li> <li>Enhances pickles and curries</li> <li>Supports digestion</li> <li>Essential for spice blends</li> </ul> </section>"
,Sunrise Haldi Powder,sunrise-haldi-powder,TURMERIC-POWDER-100,standard,,1,15,,14,0,50gm,,100,1,10,3,,A,Sunrise Haldi Powder | Pure Turmeric Spice,"Sunrise, Haldi Powder, Turmeric, Pure, Spice",Pure turmeric powder for cooking,sunrise-haldi-powder.jpg,,Pure turmeric powder for cooking,"<section> <h3>Sunrise Haldi Powder</h3> <p>Sunrise Haldi Powder is pure turmeric, known for its vibrant color and earthy flavor. It is a staple in Indian cooking and valued for its health benefits.</p> <ul> <li>Pure turmeric powder – bright yellow color</li> <li>Enhances curries, dals, and vegetables</li> <li>Supports immunity and wellness</li> <li>Essential for everyday Indian cooking</li> </ul> </section>"
,Sunrise Fish Masala,sunrise-fish-masala,SUNRISE-FISH-MASALA-100,standard,,1,15,,51,45,50gm,,100,1,10,3,,A,Sunrise Fish Masala | Authentic Bengali Blend,"Sunrise, Fish Masala, Bengali Blend, Cooking",Authentic Bengali fish masala blend,sunrise-fish-masala.jpg,,Authentic Bengali fish masala blend,<section> <h3>Sunrise Fish Masala</h3> <p>Sunrise Fish Masala is a traditional Bengali spice blend crafted to enhance fish curries with authentic flavor and aroma.</p> <ul> <li>Authentic Bengali fish masala blend</li> <li>Rich flavor – perfect for fish curries</li> <li>Enhances taste and aroma</li> <li>Essential for Bengali cuisine</li> </ul> </section>
,Sunrise Mustard Powder,sunrise-mustard-powder,SUNRISE-MUSTARD-PWDR-100,standard,,1,15,,14,0,35gm,,100,1,10,3,,A,Sunrise Mustard Powder | Traditional Mustard Spice,"Sunrise, Mustard Powder, Traditional, Spice",Traditional mustard powder for cooking,sunrise-mustard-powder.jpg,,Traditional mustard powder,"<section> <h3>Sunrise Mustard Powder</h3> <p>Sunrise Mustard Powder adds sharp, tangy flavor to curries, pickles, and marinades. A must-have for authentic Indian cooking.</p> <ul> <li>Natural mustard powder – sharp flavor</li> <li>Enhances pickles and curries</li> <li>Supports digestion</li> <li>Essential for spice blends</li> </ul> </section>"
,Sunrise Meat Masala Powder,sunrise-meat-masala-powder-7g,SUNRISE-MEAT-MASALA-7G,standard,,1,15,,5,0,7gm,,100,1,10,3,,A,Sunrise Meat Masala Powder 7g | Rich Flavor for Curries,"Sunrise, Meat Masala, Rich Flavor, Curries",Rich meat masala spice for curries,sunrise-meat-masala-powder-7g.jpg,,Rich meat masala spice,<section> <h3>Sunrise Meat Masala Powder 7g</h3> <p>Sunrise Meat Masala Powder is a rich spice blend that enhances the flavor of meat curries. The 7g pack is convenient for single-use cooking.</p> <ul> <li>Rich spice blend – perfect for meat curries</li> <li>Convenient 7g pack</li> <li>Enhances taste and aroma</li> <li>Essential for authentic Indian cooking</li> </ul> </section>
,Sunrise Garam Masala Powder,sunrise-garam-masala-powder,SUNRISE-GARAM-MASALA-100,standard,,1,15,,49,45,50gm,,100,1,10,3,,A,Sunrise Garam Masala Powder | Classic Indian Spice Blend,"Sunrise, Garam Masala, Classic, Indian Spice Blend",Classic Indian garam masala blend,sunrise-garam-masala-powder.jpg,,Classic garam masala blend,"<section> <h3>Sunrise Garam Masala Powder</h3> <p>Sunrise Garam Masala Powder is a classic Indian spice blend used to add warmth and depth to curries, dals, and gravies.</p> <ul> <li>Classic garam masala blend</li> <li>Enhances curries and dals</li> <li>Rich aroma and flavor</li> <li>Essential for Indian cuisine</li> </ul> </section>"
,Sunrise Shahi Garam Masala Powder,sunrise-sahi-garam-masala-powder-3g,SUNRISE-SAHI-GARAM-3G,standard,,1,15,,8,0,3gm,,100,1,10,3,,A,Sunrise Sahi Garam Masala Powder 3g | Premium Spice Mix,"Sunrise, Sahi Garam Masala, Premium, Spice Mix",Premium sahi garam masala spice mix,sunrise-sahi-garam-masala-powder-3g.jpg,,Premium sahi garam masala mix,<section> <h3>Sunrise Sahi Garam Masala Powder 3g</h3> <p>Sunrise Sahi Garam Masala Powder is a premium spice blend crafted for rich curries and festive dishes. The 3g pack is ideal for single-use.</p> <ul> <li>Premium garam masala blend</li> <li>Convenient 3g pack</li> <li>Enhances festive curries</li> <li>Rich aroma and flavor</li> </ul> </section>
,Sunrise Chana Masala Powder,sunrise-chana-masala-powder,SUNRISE-CHANA-MASALA-100,standard,,1,15,,39,35,50gm,,100,1,10,3,,A,Sunrise Chana Masala Powder | Flavorful Chickpea Spice,"Sunrise, Chana Masala, Chickpea, Flavorful, Spice",Flavorful chana masala spice for chickpeas,sunrise-chana-masala-powder.jpg,,Flavorful chana masala spice,<section> <h3>Sunrise Chana Masala Powder</h3> <p>Sunrise Chana Masala Powder is a flavorful spice mix designed to enhance chickpea curries with authentic taste and aroma.</p> <ul> <li>Flavorful spice blend – perfect for chickpeas</li> <li>Enhances taste and aroma</li> <li>Supports digestion</li> <li>Essential for Indian cooking</li> </ul> </section>
,Sunrise Kashmiri Mirch Powder,sunrise-kashmiri-mirch-powder-10,SUNRISE-KASHMIRI-MIRCH-10,standard,,1,15,,10,0,5gm,,100,1,10,3,,A,Sunrise Kashmiri Mirch Powder 10g | Mild Red Chili Flavor,"Sunrise, Kashmiri Mirch, Mild, Red Chili, Spice",Mild Kashmiri red chili powder,sunrise-kashmiri-mirch-powder-10.jpg,,Mild Kashmiri red chili powder,<section> <h3>Sunrise Kashmiri Mirch Powder 10g</h3> <p>Sunrise Kashmiri Mirch Powder adds mild heat and vibrant red color to curries and gravies. The 10g pack is convenient for single-use cooking.</p> <ul> <li>Mild red chili powder – vibrant color</li> <li>Enhances curries and gravies</li> <li>Convenient 10g pack</li> <li>Essential for Indian cuisine</li> </ul> </section>
,Sunrise Black Pepper Powder,sunrise-black-pepper-powder,SUNRISE-BLACK-PEPPER-100,standard,,1,15,,77,70,50gm,,100,1,10,3,,A,Sunrise Black Pepper Powder | Fresh Ground Spice,"Sunrise, Black Pepper Powder, Fresh Ground, Spice",Fresh ground black pepper powder,sunrise-black-pepper-powder.jpg,,Fresh ground black pepper powder,"<section> <h3>Sunrise Black Pepper Powder</h3> <p>Sunrise Black Pepper Powder is freshly ground to deliver pungent flavor and aroma. Perfect for seasoning curries, soups, and marinades.</p> <ul> <li>Fresh ground black pepper</li> <li>Pungent flavor – versatile seasoning</li> <li>Supports digestion and immunity</li> <li>Essential for everyday cooking</li> </ul> </section>"
,Sunrise Chicken Masala Powder,sunrise-chicken-masala-powder,SUNRISE-CHICKEN-MASALA-100,standard,,1,15,,49,45,50gm,,100,1,10,3,,A,Sunrise Chicken Masala Powder | Flavorful Chicken Curry Blend,"Sunrise, Chicken Masala, Flavorful, Curry Blend",Flavorful chicken masala spice blend,sunrise-chicken-masala-powder.jpg,,Flavorful chicken masala blend,<section> <h3>Sunrise Chicken Masala Powder</h3> <p>Sunrise Chicken Masala Powder is a flavorful spice blend crafted to enhance chicken curries with authentic taste and aroma.</p> <ul> <li>Flavorful spice blend – perfect for chicken curries</li> <li>Enhances taste and aroma</li> <li>Supports digestion</li> <li>Essential for Indian cooking</li> </ul> </section>
,Sunrise Red Chilly Powder,sunrise-red-chilly-powder,SUNRISE-RED-CHILLY-100,standard,,1,15,,21,0,50gm,,100,1,10,3,,A,Sunrise Red Chilly Powder | Authentic Spice Heat,"Sunrise, Red Chilly Powder, Authentic, Spice Heat",Authentic red chili powder for cooking,sunrise-red-chilly-powder.jpg,,Authentic red chili powder,"<section> <h3>Sunrise Red Chilly Powder</h3> <p>Sunrise Red Chilly Powder delivers authentic spice heat and vibrant color to curries, gravies, and marinades. Made from carefully selected chilies, it ensures consistent flavor and quality.</p> <ul> <li>Authentic red chili powder – bold heat</li> <li>Enhances curries, dals, and gravies</li> <li>Rich color – adds vibrancy to dishes</li> <li>Essential for Indian cooking</li> </ul> </section>"
,Sunrise Sabji Masala Powder,sunrise-sabji-masala-powder,SUNRISE-SABJI-MASALA-100,standard,,1,15,,39,35,50gm,,100,1,10,3,,A,Sunrise Sabji Masala Powder | Everyday Vegetable Spice Mix,"Sunrise, Sabji Masala, Everyday, Vegetable, Spice Mix",Everyday vegetable masala spice mix,sunrise-sabji-masala-powder.jpg,,Everyday vegetable masala mix,<section> <h3>Sunrise Sabji Masala Powder</h3> <p>Sunrise Sabji Masala Powder is a versatile spice blend crafted for everyday vegetable dishes. It adds balanced flavor and aroma to simple home-cooked meals.</p> <ul> <li>Balanced spice blend – perfect for vegetables</li> <li>Enhances taste and aroma</li> <li>Convenient for daily cooking</li> <li>Essential for Indian kitchens</li> </ul> </section>
,Sunrise Jeera Powder,sunrise-jeera-powder,SUNRISE-JEERA-100,standard,,1,15,,28,0,50gm,,100,1,10,3,,A,Sunrise Jeera Powder | Ground Cumin Spice,"Sunrise, Jeera Powder, Ground Cumin, Spice",Ground cumin powder for cooking,sunrise-jeera-powder.jpg,,Ground cumin powder,"<section> <h3>Sunrise Jeera Powder</h3> <p>Sunrise Jeera Powder is ground cumin, known for its earthy flavor and aroma. It is widely used in curries, dals, and spice blends.</p> <ul> <li>Ground cumin powder – earthy flavor</li> <li>Enhances curries and dals</li> <li>Supports digestion</li> <li>Essential for spice blends</li> </ul> </section>"
,Sunrise Garam Masala Powder,sunrise-garam-masala-powder-7g,SUNRISE-GARAM-MASALA-7G,standard,,1,15,,5,0,7gm,,100,1,10,3,,A,Sunrise Garam Masala Powder 7g | Classic Indian Spice Blend,"Sunrise, Garam Masala, Classic, Indian Spice Blend",Classic garam masala blend in 7g pack,sunrise-garam-masala-powder-7g.jpg,,Classic garam masala blend,<section> <h3>Sunrise Garam Masala Powder 7g</h3> <p>Sunrise Garam Masala Powder is a classic Indian spice blend in a convenient 7g pack. Perfect for adding warmth and depth to curries and gravies.</p> <ul> <li>Classic garam masala blend</li> <li>Convenient 7g pack</li> <li>Enhances curries and dals</li> <li>Rich aroma and flavor</li> </ul> </section>
,Sunrise Dhania Powder,sunrise-dhania-powder,SUNRISE-DHANIA-100,standard,,1,15,,15,0,50gm,,100,1,10,3,,A,Sunrise Dhania Powder | Ground Coriander Spice,"Sunrise, Dhania Powder, Ground Coriander, Spice",Ground coriander powder for cooking,sunrise-dhania-powder.jpg,,Ground coriander powder,"<section> <h3>Sunrise Dhania Powder</h3> <p>Sunrise Dhania Powder is ground coriander, offering a fresh citrusy flavor. It is a staple in Indian cooking for curries, chutneys, and spice blends.</p> <ul> <li>Ground coriander powder – citrusy flavor</li> <li>Enhances curries and chutneys</li> <li>Supports digestion</li> <li>Essential for everyday cooking</li> </ul> </section>"
,Sunrise Shahi Garam Masala Powder,sunrise-shahi-garam-masala-powder,SUNRISE-SHAHI-GARAM-100,standard,,1,15,,130,120,50gm,,100,1,10,3,,A,Sunrise Shahi Garam Masala Powder | Premium Spice Blend,"Sunrise, Shahi Garam Masala, Premium, Spice Blend",Premium shahi garam masala blend,sunrise-shahi-garam-masala-powder.jpg,,Premium shahi garam masala blend,<section> <h3>Sunrise Shahi Garam Masala Powder</h3> <p>Sunrise Shahi Garam Masala Powder is a premium spice blend crafted for rich curries and festive dishes. It adds depth and aroma to traditional recipes.</p> <ul> <li>Premium garam masala blend</li> <li>Enhances festive curries</li> <li>Rich aroma and flavor</li> <li>Essential for Indian cuisine</li> </ul> </section>
,Sunrise Chat Masala,sunrise-chat-masala,SUNRISE-CHAT-MASALA-100,standard,,1,15,,36,0,50gm,,100,1,10,3,,A,Sunrise Chat Masala | Tangy Spice Mix,"Sunrise, Chat Masala, Tangy, Spice Mix",Tangy chat masala spice mix,sunrise-chat-masala.jpg,,Tangy chat masala mix,"<section> <h3>Sunrise Chat Masala</h3> <p>Sunrise Chat Masala is a tangy spice mix used to season snacks, salads, and fruits. It adds a zesty flavor to everyday dishes.</p> <ul> <li>Tangy spice mix – perfect for snacks</li> <li>Enhances taste of salads and fruits</li> <li>Convenient seasoning for daily use</li> <li>Essential for Indian street food flavor</li> </ul> </section>"
,Sunrise Meat Masala,sunrise-meat-masala-powder,SUNRISE-MEAT-MASALA-100,standard,,1,15,,51,45,50gm,,100,1,10,3,,A,Sunrise Meat Masala Powder | Rich Flavor for Meat Curries,"Sunrise, Meat Masala, Rich Flavor, Curries",Rich meat masala spice blend,sunrise-meat-masala-powder.jpg,,Rich meat masala blend,<section> <h3>Sunrise Meat Masala Powder</h3> <p>Sunrise Meat Masala Powder is a rich spice blend designed to enhance the flavor of meat curries. It adds depth and aroma to traditional recipes.</p> <ul> <li>Rich spice blend – perfect for meat curries</li> <li>Enhances taste and aroma</li> <li>Supports digestion</li> <li>Essential for Indian cooking</li> </ul> </section>
,Maggi Masala,maggi-masala,MAGGI-MASALA-100,standard,,1,15,,5,0,Pc,,100,1,10,3,,A,Maggi Masala | Instant Noodles Spice Mix,"Maggi, Masala, Instant Noodles, Spice Mix",Instant noodles masala spice mix,maggi-masala.jpg,,Instant noodles masala mix,<section> <h3>Maggi Masala</h3> <p>Maggi Masala is the signature spice mix used in instant noodles. It delivers a unique flavor loved by families across generations.</p> <ul> <li>Signature spice blend – unique taste</li> <li>Enhances instant noodles</li> <li>Convenient and easy to use</li> <li>Essential for Maggi lovers</li> </ul> </section>
,Ganesh Atta,ganesh-atta,GANESH-ATTA-100,standard,,1,8,,48,0,1kg,,100,1,10,3,,A,Ganesh Atta | Premium Wheat Flour,"Ganesh, Atta, Wheat Flour, Premium",Premium wheat flour for chapatis,ganesh-atta.jpg,,Premium wheat flour,"<section> <h3>Ganesh Atta</h3> <p>Ganesh Atta is premium wheat flour, milled to perfection for soft chapatis and rotis. It ensures authentic taste and nutrition in every meal.</p> <ul> <li>Premium wheat flour – soft chapatis</li> <li>Rich in fiber and nutrients</li> <li>Enhances everyday meals</li> <li>Essential for Indian kitchens</li> </ul> </section>"
,Ganesh Maida,ganesh-maida,GANESH-MAIDA-100,standard,,1,8,,52,0,1kg,,100,1,10,3,,A,Ganesh Maida | Refined Flour for Baking,"Ganesh, Maida, Refined Flour, Baking",Refined flour for baking,ganesh-maida.jpg,,Refined flour for baking,"<section> <h3>Ganesh Maida</h3> <p>Ganesh Maida is refined wheat flour, milled to perfection for baking and cooking. It is ideal for breads, cakes, pastries, and traditional Indian snacks.</p> <ul> <li>Refined flour – smooth texture</li> <li>Perfect for baking and frying</li> <li>Enhances cakes, pastries, and snacks</li> <li>Essential for Indian kitchens</li> </ul> </section>"
,Joygopal Atta,joygopal-atta,JOYGOPAL-ATTA-100,standard,,1,8,,40,0,1kg,,100,1,10,3,,A,Joygopal Atta | Quality Wheat Flour,"Joygopal, Atta, Wheat Flour, Quality",Quality wheat flour for cooking,joygopal-atta.jpg,,Quality wheat flour,"<section> <h3>Joygopal Atta</h3> <p>Joygopal Atta is quality wheat flour, rich in fiber and nutrients. It ensures soft chapatis and rotis with authentic taste and nutrition.</p> <ul> <li>Quality wheat flour – soft chapatis</li> <li>Rich in fiber and protein</li> <li>Enhances everyday meals</li> <li>Essential for Indian households</li> </ul> </section>"
,Fortune Chakki Fresh Atta,fortune-chakki-fresh-atta-1kg,FORTUNE-ATTA-1KG,standard,,1,8,,46,0,1kg,,100,1,10,3,,A,Fortune Chakki Fresh Atta 1kg | Stone-Ground Wheat Flour,"Fortune, Chakki Fresh Atta, Stone-Ground, Wheat Flour",Stone-ground whole wheat flour 1kg,fortune-chakki-fresh-atta-1kg.jpg,,Stone-ground whole wheat flour,"<section> <h3>Fortune Chakki Fresh Atta 1kg</h3> <p>Fortune Chakki Fresh Atta is stone-ground whole wheat flour, offering authentic taste and nutrition. The 1kg pack is convenient for small families.</p> <ul> <li>Stone-ground wheat flour – authentic taste</li> <li>Rich in fiber and nutrients</li> <li>Soft chapatis and rotis</li> <li>Convenient 1kg pack</li> </ul> </section>"
,Fortune Chakki Fresh Atta,fortune-chakki-fresh-atta,FORTUNE-ATTA-100,standard,,1,8,,225,0,5kg,,100,1,10,3,,A,Fortune Chakki Fresh Atta | Fresh Whole Wheat Flour,"Fortune, Chakki Fresh Atta, Whole Wheat, Fresh",Fresh whole wheat flour,fortune-chakki-fresh-atta.jpg,,Fresh whole wheat flour,"<section> <h3>Fortune Chakki Fresh Atta</h3> <p>Fortune Chakki Fresh Atta is premium whole wheat flour, milled to preserve natural goodness. It ensures soft, fluffy chapatis and rotis every time.</p> <ul> <li>Premium whole wheat flour</li> <li>Rich in fiber and protein</li> <li>Soft and fluffy chapatis</li> <li>Essential for daily meals</li> </ul> </section>"
,Stainless Steel Scrubber,stainless-steel-scrubber,STEEL-SCRUBBER-100,standard,,4,30,,10,0,1Pc,,100,1,10,3,,A,Stainless Steel Scrubber | Tough Cleaning Tool,"Stainless Steel, Scrubber, Tough, Cleaning Tool",Tough stainless steel scrubber for cleaning,stainless-steel-scrubber.jpg,,Tough stainless steel scrubber,"<section> <h3>Stainless Steel Scrubber</h3> <p>The Stainless Steel Scrubber is tough on grease and stains, making it ideal for cleaning utensils and cookware. Durable and long-lasting.</p> <ul> <li>Tough cleaning tool – removes grease</li> <li>Durable stainless steel material</li> <li>Safe for steel and aluminum cookware</li> <li>Long-lasting performance</li> </ul> </section>"
,Scotch Brite,scotch-brite,SCOTCH-BRITE-100,standard,,4,30,,10,0,Pc,,100,1,10,3,,A,Scotch Brite | Household Cleaning Pad,"Scotch Brite, Cleaning Pad, Household",Household cleaning pad,scotch-brite.jpg,,Household cleaning pad,"<section> <h3>Scotch Brite</h3> <p>Scotch Brite is a household cleaning pad designed to remove stains and grease effectively. Gentle on hands, tough on dirt.</p> <ul> <li>Effective cleaning pad</li> <li>Removes grease and stains</li> <li>Gentle on hands</li> <li>Essential for kitchen cleaning</li> </ul> </section>"
,Rasna,rasna,RASNA-100,standard,,2,20,,50,0,Pc,,100,1,10,3,,A,Rasna | Instant Drink Mix,"Rasna, Instant Drink, Mix, Beverage",Instant drink mix for refreshment,rasna.jpg,,Instant drink mix,"<section> <h3>Rasna</h3> <p>Rasna is an instant drink mix loved by families for its refreshing taste. Available in multiple flavors, it is easy to prepare and enjoyed by all ages.</p> <ul> <li>Instant drink mix – refreshing taste</li> <li>Available in multiple flavors</li> <li>Easy to prepare</li> <li>Perfect for family refreshment</li> </ul> </section>"
,Glucon D Tangy Orange,glucon-d-tangy,GLUCON-D-TANGY-100,standard,,2,20,,380,349,1kg,,100,1,10,3,,A,Glucon-D Tangy | Instant Energy Drink,"Glucon-D, Tangy, Instant Energy, Drink",Tangy instant energy drink,glucon-d-tangy.jpg,,Tangy instant energy drink,<section> <h3>Glucon-D Tangy</h3> <p>Glucon-D Tangy is an instant energy drink that replenishes lost energy quickly. Its tangy flavor makes it refreshing and enjoyable.</p> <ul> <li>Instant energy drink – quick recharge</li> <li>Tangy flavor – refreshing taste</li> <li>Rich in glucose and minerals</li> <li>Perfect for summer hydration</li> </ul> </section>
,Nutrela Soya Chunks,nutrela-soya-chunks,NUTRELA-SOYA-100,standard,,1,10,,15,0,80gm,,100,1,10,3,,A,Nutrela Soya Chunks | Protein-Rich Meat Substitute,"Nutrela, Soya Chunks, Protein, Meat Substitute",Protein-rich soya chunks,nutrela-soya-chunks.jpg,,Protein-rich soya chunks,"<section> <h3>Nutrela Soya Chunks</h3> <p>Nutrela Soya Chunks are protein-rich meat substitutes, perfect for curries, pulao, and snacks. They are nutritious and versatile.</p> <ul> <li>Protein-rich soya chunks</li> <li>Healthy meat substitute</li> <li>Enhances curries and pulao</li> <li>Essential for vegetarian diets</li> </ul> </section>"
,Nutrela Soya Chunks,nutrela-soya-chunks-1kg,NUTRELA-SOYA-1KG,standard,,1,10,,130,0,1kg,,100,1,10,3,,A,Nutrela Soya Chunks 1kg | High Protein Chunks,"Nutrela, Soya Chunks, Protein, High, 1kg",High protein soya chunks 1kg pack,nutrela-soya-chunks-1kg.jpg,,High protein soya chunks 1kg,"<section> <h3>Nutrela Soya Chunks 1kg</h3> <p>Nutrela Soya Chunks in a 1kg pack provide high protein nutrition for families. Ideal for bulk cooking and regular use.</p> <ul> <li>High protein soya chunks</li> <li>Convenient 1kg family pack</li> <li>Versatile use – curries, pulao, snacks</li> <li>Nutritious and filling</li> </ul> </section>"
,Nutrela Mini Soya Chunks,nutrela-mini-soya-chunks,NUTRELA-SOYA-MINI-100,standard,,1,10,,15,0,80gm,,100,1,10,3,,A,Nutrela Mini Soya Chunks | Small Protein-Rich Chunks,"Nutrela, Mini Soya Chunks, Protein, Small",Small protein-rich soya chunks,nutrela-mini-soya-chunks.jpg,,Small protein-rich soya chunks,"<section> <h3>Nutrela Mini Soya Chunks</h3> <p>Nutrela Mini Soya Chunks are bite-sized protein-rich nuggets, perfect for curries, snacks, and pulao. They are easy to cook and absorb flavors beautifully.</p> <ul> <li>Small protein-rich chunks</li> <li>Healthy meat substitute</li> <li>Enhances curries and snacks</li> <li>Nutritious and versatile</li> </ul> </section>"
,Fortune Soya Chunks,fortune-soya-chunks,FORTUNE-SOYA-100,standard,,1,10,,130,0,1kg,,100,1,10,3,,A,Fortune Soya Chunks | Nutritious Protein Chunks,"Fortune, Soya Chunks, Nutritious, Protein",Nutritious protein-rich soya chunks,fortune-soya-chunks.jpg,,Nutritious protein-rich soya chunks,"<section> <h3>Fortune Soya Chunks</h3> <p>Fortune Soya Chunks are nutritious and protein-rich, making them an excellent addition to vegetarian diets. They are versatile and easy to prepare.</p> <ul> <li>Nutritious protein chunks</li> <li>Rich in protein and fiber</li> <li>Perfect for curries, pulao, and snacks</li> <li>Essential for healthy cooking</li> </ul> </section>"
,Almond,almond,ALMOND-100,standard,,1,12,,92,0,100gm,,100,1,10,3,,A,Almond | Premium Dry Fruit,"Almond, Dry Fruit, Premium, Healthy",Premium quality almonds,almond.jpg,,Premium quality almonds,"<section> <h3>Almond</h3> <p>Premium quality almonds are a healthy dry fruit, rich in protein, fiber, and essential nutrients. Perfect for snacking, baking, and festive recipes.</p> <ul> <li>Premium dry fruit – rich in protein</li> <li>Supports heart and brain health</li> <li>Versatile – snacks, sweets, baking</li> <li>Essential for healthy diets</li> </ul> </section>"
,Khejur,khejur,KHEJUR-100,standard,,1,12,,118,0,1kg,,100,1,10,3,,A,Khejur | Natural Dates,"Khejur, Dates, Natural, Sweet",Natural sweet dates,khejur.jpg,,Natural sweet dates,"<section> <h3>Khejur (Dates)</h3> <p>Khejur, or dates, are naturally sweet and packed with energy. They are a healthy snack and a traditional ingredient in festive recipes.</p> <ul> <li>Natural dates – sweet and nutritious</li> <li>Rich in fiber and minerals</li> <li>Perfect for snacking and desserts</li> <li>Supports energy and digestion</li> </ul> </section>"
,Potato Chips,potato-chips,POTATO-CHIPS-100,standard,,2,17,,95,0,500gm,,100,1,10,3,,A,Potato Chips | Crunchy Snack,"Potato Chips, Crunchy, Snack, Food",Crunchy potato chips snack,potato-chips.jpg,,Crunchy potato chips snack,"<section> <h3>Potato Chips</h3> <p>Crunchy potato chips are a classic snack loved by all ages. Lightly salted and crispy, they are perfect for parties, picnics, and everyday snacking.</p> <ul> <li>Crunchy snack – lightly salted</li> <li>Perfect for parties and picnics</li> <li>Enjoyed by all age groups</li> <li>Convenient ready-to-eat snack</li> </ul> </section>"
,Aamsotto,aamsotto,AAMSOTTO-100,standard,,1,12,,230,0,1kg,,100,1,10,3,,A,Aamsotto | Traditional Mango Sweet,"Aamsotto, Mango Sweet, Traditional",Traditional mango sweet (aamsotto),aamsotto.jpg,,Traditional mango sweet,"<section> <h3>Aamsotto (Mango Sweet)</h3> <p>Aamsotto is a traditional Bengali sweet made from ripe mango pulp. It is chewy, tangy, and sweet, enjoyed as a snack or dessert.</p> <ul> <li>Traditional mango sweet</li> <li>Chewy and tangy flavor</li> <li>Perfect for snacking and desserts</li> <li>Authentic Bengali delicacy</li> </ul> </section>"
,Lal Badam (Peanut),lal-badam-peanut,PEANUT-100,standard,,1,12,,130,0,1kg,,100,1,10,3,,A,Lal Badam Peanut | Crunchy Peanuts,"Peanut, Lal Badam, Crunchy, Snack",Crunchy roasted peanuts,lal-badam-peanut.jpg,,Crunchy roasted peanuts,"<section> <h3>Lal Badam (Peanut)</h3> <p>Lal Badam, or peanuts, are crunchy and protein-rich. They are perfect for snacking, cooking, and making traditional sweets like chikki.</p> <ul> <li>Crunchy peanuts – protein-rich</li> <li>Supports energy and nutrition</li> <li>Versatile – snacks, sweets, cooking</li> <li>Essential dry fruit for Indian kitchens</li> </ul> </section>"
,Ganesh Sattu,ganesh-sattu-500gm,GANESH-SATTU-500,standard,,1,8,,95,0,500gm,,100,1,10,3,,A,Ganesh Sattu 500gm | Nutritious Flour,"Ganesh, Sattu, Nutritious, Flour, 500gm",Nutritious sattu flour 500gm,ganesh-sattu-500gm.jpg,,Nutritious sattu flour 500gm,"<section> <h3>Ganesh Sattu 500gm</h3> <p>Ganesh Sattu is a nutritious flour made from roasted gram. The 500gm pack is ideal for families, used in drinks, parathas, and traditional recipes.</p> <ul> <li>Nutritious roasted gram flour</li> <li>Rich in protein and fiber</li> <li>Perfect for drinks and parathas</li> <li>Convenient 500gm pack</li> </ul> </section>"
,Ganesh Sattu,ganesh-sattu-200gm,GANESH-SATTU-200,standard,,1,8,,35,0,200gm,,100,1,10,3,,A,Ganesh Sattu 200gm | Healthy Protein Flour,"Ganesh, Sattu, Healthy, Protein, Flour, 200gm",Healthy protein-rich sattu flour 200gm,ganesh-sattu-200gm.jpg,,Healthy sattu flour 200gm,"<section> <h3>Ganesh Sattu 200gm</h3> <p>Ganesh Sattu in a 200gm pack is a healthy protein-rich flour, perfect for small households. Used in refreshing drinks and traditional recipes.</p> <ul> <li>Healthy roasted gram flour</li> <li>Rich in protein and fiber</li> <li>Perfect for drinks and snacks</li> <li>Convenient 200gm pack</li> </ul> </section>"
